fecha,apertura,cierre,maximo,minimo,volumen
2012-01-02,2.28,2.28,2.28,2.28,340052
2012-01-03,2.3,2.3,2.3,2.27,1255830
2012-01-04,2.3,2.34,2.34,2.28,363275
2012-01-05,2.35,2.38,2.38,2.35,728885
2012-01-06,2.4,2.38,2.4,2.38,580065
2012-01-09,2.38,2.38,2.38,2.35,196771
2012-01-10,2.38,2.38,2.38,2.35,1358960
2012-01-11,2.38,2.33,2.38,2.33,2564165
2012-01-12,2.33,2.39,2.39,2.33,634585
2012-01-13,2.38,2.38,2.39,2.38,97282
2012-01-16,2.37,2.43,2.43,2.37,654051
2012-01-17,2.45,2.46,2.48,2.44,2606613
2012-01-18,2.46,2.48,2.49,2.46,2808892
2012-01-19,2.48,2.53,2.53,2.48,1666507
2012-01-20,2.52,2.52,2.52,2.52,1017126
2012-01-23,2.52,2.5,2.52,2.5,923005
2012-01-24,2.5,2.48,2.5,2.47,2984299
2012-01-25,2.48,2.46,2.48,2.42,1287047
2012-01-26,2.46,2.48,2.52,2.46,963970
2012-01-27,2.5,2.5,2.51,2.5,514557
2012-01-30,2.5,2.56,2.56,2.5,422243
2012-01-31,2.57,2.58,2.6,2.56,392361
2012-02-01,2.58,2.76,2.76,2.58,2600104
2012-02-02,2.76,2.79,2.8,2.76,7204118
2012-02-03,2.8,2.73,2.8,2.73,3101528
2012-02-06,2.73,2.72,2.73,2.7,2304823
2012-02-07,2.72,2.7,2.72,2.69,3145870
2012-02-08,2.7,2.73,2.73,2.7,3300643
2012-02-09,2.74,2.78,2.78,2.73,898424
2012-02-10,2.75,2.73,2.75,2.7,205085
2012-02-13,2.75,2.66,2.75,2.66,2001776
2012-02-14,2.66,2.64,2.66,2.64,115860
2012-02-15,2.66,2.66,2.66,2.65,177300
2012-02-16,2.66,2.7,2.7,2.66,226801
2012-02-17,2.7,2.7,2.7,2.7,572630
2012-02-20,2.7,2.7,2.7,2.7,129872
2012-02-21,2.72,2.68,2.72,2.66,976436
2012-02-22,2.68,2.71,2.72,2.68,2786686
2012-02-23,2.71,2.72,2.72,2.71,490818
2012-02-24,2.72,2.74,2.74,2.72,1798117
2012-02-27,2.74,2.73,2.76,2.73,510203
2012-02-28,2.76,2.77,2.77,2.76,270333
2012-02-29,2.78,2.83,2.83,2.75,3621497
2012-03-01,2.85,2.99,2.99,2.85,5767758
2012-03-02,2.99,3.05,3.05,2.99,3330010
2012-03-05,3.0,2.98,3.0,2.95,3453959
2012-03-06,2.95,2.9,2.95,2.87,1496734
2012-03-07,2.9,2.96,2.96,2.9,782026
2012-03-08,2.96,3.0,3.04,2.94,3048048
2012-03-09,3.0,3.05,3.06,3.0,1699664
2012-03-12,3.04,2.97,3.05,2.97,1442061
2012-03-13,2.98,3.01,3.02,2.98,943050
2012-03-14,3.02,3.0,3.03,2.99,984531
2012-03-15,3.0,3.0,3.0,3.0,366268
2012-03-16,3.0,3.0,3.0,3.0,292143
2012-03-19,3.0,3.05,3.05,3.0,120973
2012-03-20,3.0,3.05,3.1,3.0,1203879
2012-03-21,3.05,3.05,3.05,3.03,39546
2012-03-22,3.04,3.03,3.04,3.02,736300
2012-03-23,3.03,3.05,3.05,3.03,732946
2012-03-26,3.05,3.14,3.14,3.05,2140349
2012-03-27,3.15,3.2,3.2,3.15,926597
2012-03-28,3.19,3.18,3.2,3.15,225046
2012-03-29,3.14,3.09,3.14,3.08,1587786
2012-03-30,3.09,3.09,3.09,3.05,1741105
2012-04-02,3.1,3.09,3.11,3.05,2789726
2012-04-03,3.1,3.1,3.15,3.08,1911241
2012-04-04,3.09,3.08,3.09,3.05,2175231
2012-04-09,3.08,3.0,3.08,3.0,726137
2012-04-10,3.01,3.0,3.01,2.97,1516698
2012-04-11,3.05,2.97,3.05,2.97,1106639
2012-04-12,3.0,3.0,3.0,2.99,1540829
2012-04-13,3.0,2.95,3.0,2.92,1507063
2012-04-16,2.95,2.95,2.95,2.92,200792
2012-04-17,2.95,2.95,2.95,2.91,1769850
2012-04-18,2.95,2.94,2.96,2.93,2657134
2012-04-19,2.92,2.96,2.96,2.92,1917954
2012-04-20,2.97,3.0,3.0,2.97,1206028
2012-04-23,3.0,2.95,3.0,2.94,951292
2012-04-24,2.95,2.93,2.95,2.91,266663
2012-04-25,2.92,2.92,2.92,2.9,406309
2012-04-26,2.91,2.9,2.92,2.89,296877
2012-04-27,2.9,2.96,2.96,2.9,353130
2012-04-30,2.93,2.92,2.93,2.92,400580
2012-05-02,2.92,2.92,2.92,2.9,647663
2012-05-03,2.9,2.9,2.91,2.89,711066
2012-05-04,2.95,2.92,2.95,2.92,751246
2012-05-07,2.88,2.86,2.88,2.86,282329
2012-05-08,2.84,2.78,2.86,2.78,1289945
2012-05-09,2.78,2.84,2.84,2.78,1780073
2012-05-10,2.87,2.88,2.88,2.87,592589
2012-05-11,2.85,2.85,2.86,2.85,628814
2012-05-14,2.82,2.76,2.82,2.76,375444
2012-05-15,2.76,2.73,2.76,2.71,1502151
2012-05-16,2.73,2.7,2.73,2.69,1080798
2012-05-17,2.7,2.65,2.7,2.62,355803
2012-05-18,2.65,2.65,2.65,2.62,518116
2012-05-21,2.68,2.67,2.68,2.67,578839
2012-05-22,2.67,2.7,2.72,2.67,953216
2012-05-23,2.7,2.67,2.7,2.65,2787796
2012-05-24,2.67,2.65,2.7,2.65,789691
2012-05-25,2.67,2.62,2.67,2.62,33558
2012-05-28,2.65,2.6,2.65,2.6,157175
2012-05-29,2.62,2.64,2.64,2.62,207599
2012-05-30,2.62,2.62,2.62,2.61,149108
2012-05-31,2.62,2.62,2.65,2.61,1478311
2012-06-01,2.6,2.55,2.6,2.55,156700
2012-06-04,2.54,2.52,2.54,2.5,159862
